City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
220,Sault Sainte Marie,46.5168,-84.3333,57.02,82,40,6.91,CA,2022-10-04 00:59:17,scattered clouds
221,Bud,39.447,-86.1758,59.32,58,0,7.49,US,2022-10-04 00:59:18,clear sky
222,Kruisfontein,-34.0033,24.7314,53.49,84,20,9.24,ZA,2022-10-04 00:59:19,few clouds
223,Coquimbo,-29.9533,-71.3436,53.28,83,4,4.7,CL,2022-10-04 01:00:20,clear sky
224,Geraldton,-28.7667,114.6,66.61,42,0,11.5,AU,2022-10-04 01:00:20,clear sky
225,Baykit,61.67,96.37,26.46,87,93,2.37,RU,2022-10-04 01:00:21,overcast clouds
226,Terney,45.0503,136.6092,42.82,50,100,20.67,RU,2022-10-04 01:00:21,overcast clouds
227,Leningradskiy,69.3833,178.4167,31.51,92,100,5.97,RU,2022-10-04 01:00:21,light snow
228,Ecoporanga,-18.3733,-40.8306,76.98,68,99,2.3,BR,2022-10-04 01:00:22,overcast clouds
229,Chimbote,-9.0853,-78.5783,62.33,84,50,8.95,PE,2022-10-04 01:00:22,scattered clouds
230,San Quintin,30.4833,-115.95,69.26,82,65,12.97,MX,2022-10-04 01:00:23,broken clouds
231,Ulladulla,-35.35,150.4667,64.09,63,77,8.63,AU,2022-10-04 01:00:23,broken clouds
232,Nichlaul,27.3167,83.7333,75.52,89,68,8.84,IN,2022-10-04 01:00:24,broken clouds
233,Nalut,30.3333,10.85,69.58,42,2,8.77,LY,2022-10-04 01:00:24,clear sky
234,Clyde River,70.4692,-68.5914,27.75,94,100,4.14,CA,2022-10-04 01:00:24,light snow
235,Treinta Y Tres,-33.2333,-54.3833,45.5,91,8,6.87,UY,2022-10-04 01:00:25,clear sky
236,Port-Gentil,-0.7193,8.7815,77.5,83,100,11.48,GA,2022-10-04 01:00:25,overcast clouds
237,Srednekolymsk,67.45,153.6833,26.96,74,95,3.4,RU,2022-10-04 01:00:26,overcast clouds
238,Pionki,51.476,21.4499,50.34,59,75,14.38,PL,2022-10-04 01:00:26,broken clouds
239,Lebu,-37.6167,-73.65,51.55,92,95,11.79,CL,2022-10-04 01:00:27,overcast clouds
240,Lasa,46.6166,10.7002,45.36,54,11,4.32,IT,2022-10-04 01:00:27,few clouds
241,Los Llanos De Aridane,28.6585,-17.9182,74.12,51,100,8.05,ES,2022-10-04 01:00:28,overcast clouds
242,Icod De Los Vinos,28.3724,-16.7119,77.22,47,26,9.86,ES,2022-10-04 01:00:28,scattered clouds
243,Koshki,54.2091,50.4677,52.9,32,100,15.35,RU,2022-10-04 01:00:29,overcast clouds
244,Oron,4.8256,8.2343,74.03,92,98,1.77,NG,2022-10-04 01:00:29,overcast clouds
